Model,MAE,MSE,RMSE,R2 Score,Adjusted R2,MAPE,Cross Validation R2
Linear Regression (Baseline),970043.4039201637,1754318687330.6643,1324506.9600914388,0.6529242642153184,0.6054296898447831,0.21035523310799564,0.6349039709909331
Ridge Regression,970245.6821765776,1756474279575.285,1325320.4441097574,0.6524978002155009,0.6049448676134115,0.21050347890446597,0.6354705571888839
Lasso Regression,970043.4468078151,1754318945367.5327,1324507.0575000846,0.6529242131651092,0.6054296318087558,0.21035524956388132,0.634904004420417
Elastic Net,977740.8716257992,1811687440583.3765,1345989.3909624163,0.6415743866873467,0.5925266711814047,0.21351363674937765,0.635005811798338
Polynomial Regression,1001691.5721767835,1740115741928.994,1319134.4669627103,0.6557341856743977,0.6086241268719468,0.21745776914341197,0.6397838513772389
Decision Tree Regressor,1195266.0550458715,2642802637614.6787,1625669.904259373,0.4771459275854347,0.40559747557081005,0.2492963902139381,0.12938363380565962
Random Forest Regressor,1021546.0353211008,1961585044320.3433,1400565.9728553821,0.611918531405699,0.5588126462296368,0.21803651986358621,0.5962156636881603
Gradient Boosting Regressor,961734.6288990073,1693306118911.061,1301270.9629093632,0.6649950368915006,0.619152252466127,0.20796442892900716,0.6224980383691735
XGBoost Regressor,1072215.625,2097490296832.0,1448271.4858865377,0.5850309133529663,0.5282456699170565,0.23081406950950623,0.5415117144584656
