K,WCSS,Inertia
2,18219.035109138098,18219.035109138098
3,16239.28175820196,16239.28175820196
4,14584.109624007773,14584.109624007773
5,13615.538116823212,13615.538116823212
6,12978.557628913248,12978.557628913248
7,12466.37388683163,12466.37388683163
8,12063.291642219672,12063.291642219672
9,11619.036783911375,11619.036783911375
10,11073.168932196393,11073.168932196393
