Algorithm,Silhouette Score,Davies-Bouldin,Clusters
KMeans,0.298491003303695,1.3737634949221167,2
Hierarchical,0.24450532917134626,1.4530469809345132,2
Gaussian Mixture,0.27670637989521335,1.428212967821581,2
DBSCAN,0.24933972861464476,1.0824848648397232,3
