Fold,MAE,RMSE,R2,Training Time
1,5.125134881313885,43.337777085805065,-0.012537808883106294,75.12474393844604
2,5.124417487076358,41.366710174194026,0.033237109946999466,186.92076420783997
3,5.309004643307107,41.52749590806379,0.04829183668206105,300.5240921974182
4,5.46076462446074,42.062450440729016,0.0685903442309177,478.43373370170593
5,5.264759735361847,37.05634905458412,0.08576637718990465,682.0145242214203
