Segment,Trips,MAE,RMSE,Median Error,P90 Error,Within 5 Minutes (%)
All Trips,113329,5.020474105224474,39.51271331715838,2.7715649270478475,7.983198985833997,75.98584651766097
Peak Hours,34917,5.0080268326046395,36.84580514558463,2.851797362693901,8.373762301796031,74.52816679554371
Off Peak,78412,5.026016897374486,40.64401893357062,2.7394237020158165,7.814207370934062,76.6349538335969
Weekend,30509,5.24550352641628,43.83160423410649,2.81078865999703,7.837914744695941,75.72519584384936
Airport Pickup,9881,8.198354616335019,34.922681978391424,5.3923284089326025,14.247564801456253,46.72603987450663
Airport Dropoff,2837,11.185162998748389,64.53979844827184,6.215892263702514,15.967170255132277,41.73422629538245
Long Trips (>30 min),12118,19.46392407074655,119.69416039423427,6.896913638428899,18.256622918235603,36.879022941079384
