Model,MAE,RMSE,R2,Training Time
Gradient Boosting,5.28347749438126,39.37555964742279,0.0759107416235516,174.04833436012268
Random Forest,5.423765324297843,40.194866231757835,0.037054698664882535,129.14360737800598
Decision Tree,5.826315685636447,51.09140912171692,-0.5558087324300989,94.344162940979
Ridge,7.4885555680884295,39.84898171453085,0.05355605047274603,19.759083032608032
Linear Regression,7.489049619890413,39.849452818969155,0.053533672155325784,26.366488218307495
ElasticNet,7.558194164214737,39.862063599424815,0.052934538826733046,23.64067840576172
Lasso,7.566144378000868,39.86355872469197,0.05286349343029684,173.62825536727905
Dummy,9.442156611870455,41.21885839794238,-0.012633665722725063,9.228110074996948
