Feature,Outliers
Customer_Age,3
Income,8
Total_Spending,3
Recency,0
Customer_Tenure,0
Family_Size,53
Total_Children,53
Purchase_Frequency,0
Accepted_Campaigns,97
NumWebPurchases,4
NumStorePurchases,0
NumCatalogPurchases,23
