K,Davies_Bouldin_Index
2,1.3737634949221167
3,1.7876131246015161
4,1.7779023593079115
5,1.788561900659874
6,1.8365315217388982
7,1.9403859540360617
8,1.9779597206408532
9,1.736190589011193
10,1.726690480851768
