K,Silhouette Score
2,0.298491003303695
3,0.22449452895623112
4,0.18952109646336213
5,0.19157501959839657
6,0.1766192694679902
7,0.14920011165904762
8,0.14711831740385725
9,0.1540892743057144
10,0.15341673777358902
