Cluster_0_Probability,Cluster_1_Probability
1.6861627917275096e-300,1.0
0.9999947259389853,5.274061014655298e-06
4.5481912948294805e-10,0.9999999995451808
0.9999899795534118,1.0020446588338056e-05
0.9062524330790345,0.09374756692096553
4.638758702341116e-09,0.9999999953612413
0.11345250846311355,0.8865474915368865
0.9999598678544176,4.013214558214892e-05
0.9999452792092783,5.472079072210143e-05
2.4995198114272984e-06,0.9999975004801885
0.9999440903042607,5.590969573890818e-05
0.9999988274891808,1.1725108194090567e-06
1.581918414592252e-152,1.0
0.9990251265505107,0.0009748734494888999
0.9999997965537848,2.0344621503390408e-07
1.3535927571880042e-96,1.0
0.9999851801264575,1.4819873542566798e-05
0.9990532122611594,0.0009467877388405296
0.0,1.0
0.9999935793344591,6.420665541084946e-06
0.9998501065342088,0.0001498934657915357
0.0,1.0
6.652871972032794e-114,1.0
0.19943461677312874,0.8005653832268713
0.02569555369189354,0.9743044463081065
0.9999939165628885,6.083437111256955e-06
0.9997057993998919,0.0002942006001083108
7.0455774241484735e-124,1.0
0.9999826051588651,1.739484113504219e-05
1.8747164342229178e-268,1.0
0.9999789325926141,2.1067407385988964e-05
2.8511356637288333e-09,0.9999999971488642
0.9997846792797702,0.00021532072023024748
0.9985230941794875,0.0014769058205123373
1.7681979307200814e-158,1.0
0.9999913281832431,8.671816757134709e-06
2.551519028620173e-31,1.0
0.9999784470252335,2.1552974766258046e-05
0.9999921884569312,7.811543068442306e-06
8.913545145252364e-48,1.0
9.539304339213991e-219,1.0
0.9999986770608393,1.3229391609764956e-06
0.9999920011944028,7.998805597305384e-06
0.33151170313024664,0.6684882968697534
0.9999849580770617,1.5041922937934695e-05
8.362377435339906e-105,1.0
0.9999982287323992,1.7712676009632699e-06
0.9999746134002602,2.53865997397488e-05
0.9999995862287724,4.137712277828708e-07
7.709314822271045e-196,1.0
0.00017296986852750854,0.9998270301314726
4.48513337609656e-225,1.0
0.999995693096395,4.306903604497489e-06
0.0,1.0
2.186817258180888e-10,0.9999999997813183
0.0,1.0
2.590114442508115e-78,1.0
0.9999954448339832,4.555166017184302e-06
0.999795437964147,0.0002045620358531091
0.42791853085534437,0.5720814691446556
9.33951984964196e-237,1.0
1.9108337050569902e-11,0.9999999999808917
1.2587287816468888e-27,1.0
0.18312470320355628,0.8168752967964438
5.419703291359831e-136,1.0
0.9999934124132182,6.587586781924802e-06
0.999998514222187,1.485777812810824e-06
2.8128938940607792e-52,1.0
6.995207309693099e-10,0.9999999993004793
0.0,1.0
1.2802943362288184e-171,1.0
0.9995296797598915,0.0004703202401087441
1.9405227310389123e-08,0.9999999805947727
0.0009723062996123615,0.9990276937003876
0.9983184561497148,0.0016815438502852246
0.9999937368095211,6.26319047858158e-06
0.0,1.0
0.0,1.0
0.9999985556852143,1.444314785879762e-06
7.665636796617939e-10,0.9999999992334363
0.9999893922754184,1.060772458172187e-05
0.9999977852059065,2.214794093632765e-06
0.9999895884151452,1.0411584855101544e-05
2.8511356637288333e-09,0.9999999971488642
8.616799603452188e-66,1.0
0.999991902635529,8.097364470753112e-06
0.9999634350227328,3.656497726744281e-05
3.8571656173980144e-07,0.999999614283438
3.801909540846366e-226,1.0
0.9968674943245026,0.003132505675497194
0.0016902813173453172,0.9983097186826544
0.9999953702936833,4.629706316667609e-06
1.2542134251373586e-123,1.0
0.99999620121787,3.7987821293724283e-06
0.9987977959673634,0.001202204032636516
0.9999978388633697,2.1611366306978108e-06
0.00047202282824049187,0.9995279771717596
0.9999812817305342,1.8718269465768034e-05
4.6321433690858696e-36,1.0
0.9938438867617723,0.006156113238227955
0.9999607946439117,3.9205356088465675e-05
0.9999902896848338,9.710315166234163e-06
4.8086009239679036e-49,1.0
4.422400246175783e-153,1.0
1.9306651648189254e-124,1.0
0.9999987362751472,1.2637248528688487e-06
0.9999463273598218,5.3672640177798356e-05
9.985513373927995e-31,1.0
0.9999776276332715,2.2372366728411356e-05
9.70110426637419e-68,1.0
1.1683177233194147e-32,1.0
0.0,1.0
2.3737506152377474e-07,0.9999997626249384
1.6909792862048143e-32,1.0
0.0003389956509084366,0.9996610043490917
0.999990624128579,9.375871421341995e-06
0.0,1.0
2.135666869953489e-10,0.9999999997864333
0.9999962045841432,3.7954158568637454e-06
0.9999944143179391,5.5856820616663225e-06
2.2875212722569297e-08,0.9999999771247873
